Country_code_9_digit,Country_code,Country_name,Characteristic,Characteristic_category,NATden_girls_15,NATden_boys_15,NATden_all_15,KS4_LEVEL2_girls_15,KS4_LEVEL2_boys_15,KS4_LEVEL2_all_15,KS4_LEVEL2_EM_girls_15,KS4_LEVEL2_EM_boys_15,KS4_LEVEL2_EM_all_15,KS4_LEVEL1_girls_15,KS4_LEVEL1_boys_15,KS4_LEVEL1_all_15,KS4_LEVEL1_EM_girls_15,KS4_LEVEL1_EM_boys_15,KS4_LEVEL1_EM_all_15,KS4_L2BASICS_girls_15,KS4_L2BASICS_boys_15,KS4_L2BASICS_all_15,KS4_LEVEL2MFL_girls_15,KS4_LEVEL2MFL_boys_15,KS4_LEVEL2MFL_all_15,KS4_GLEVEL2EM_girls_15,KS4_GLEVEL2EM_boys_15,KS4_GLEVEL2EM_all_15,KS4_EBACC_E_girls_15,KS4_EBACC_E_boys_15,KS4_EBACC_E_all_15,KS4_EBACC_girls_15,KS4_EBACC_boys_15,KS4_EBACC_all_15,NATden_PROGENG_girls_15,NATden_PROGENG_boys_15,NATden_PROGENG_all_15,KS4_PROGENG_girls_15,KS4_PROGENG_boys_15,KS4_PROGENG_all_15,NATden_PROGMAT_girls_15,NATden_PROGMAT_boys_15,NATden_PROGMAT_all_15,KS4_PROGMAT_girls_15,KS4_PROGMAT_boys_15,KS4_PROGMAT_all_15,NATden_girls_FSM_15,NATden_boys_FSM_15,NATden_all_FSM_15,KS4_LEVEL2_girls_FSM_15,KS4_LEVEL2_boys_FSM_15,KS4_LEVEL2_all_FSM_15,KS4_LEVEL2_EM_girls_FSM_15,KS4_LEVEL2_EM_boys_FSM_15,KS4_LEVEL2_EM_all_FSM_15,KS4_LEVEL1_girls_FSM_15,KS4_LEVEL1_boys_FSM_15,KS4_LEVEL1_all_FSM_15,KS4_LEVEL1_EM_girls_FSM_15,KS4_LEVEL1_EM_boys_FSM_15,KS4_LEVEL1_EM_all_FSM_15,KS4_L2BASICS_girls_FSM_15,KS4_L2BASICS_boys_FSM_15,KS4_L2BASICS_all_FSM_15,KS4_EBACC_E_girls_FSM_15,KS4_EBACC_E_boys_FSM_15,KS4_EBACC_E_all_FSM_15,KS4_EBACC_girls_FSM_15,KS4_EBACC_boys_FSM_15,KS4_EBACC_all_FSM_15,NATden_PROGENG_girls_FSM_15,NATden_PROGENG_boys_FSM_15,NATden_PROGENG_all_FSM_15,KS4_PROGENG_girls_FSM_15,KS4_PROGENG_boys_FSM_15,KS4_PROGENG_all_FSM_15,NATden_PROGMAT_girls_FSM_15,NATden_PROGMAT_boys_FSM_15,NATden_PROGMAT_all_FSM_15,KS4_PROGMAT_girls_FSM_15,KS4_PROGMAT_boys_FSM_15,KS4_PROGMAT_all_FSM_15,NATden_girls_allother_15,NATden_boys_allother_15,NATden_all_allother_15,KS4_LEVEL2_girls_allother_15,KS4_LEVEL2_boys_allother_15,KS4_LEVEL2_all_allother_15,KS4_LEVEL2_EM_girls_allother_15,KS4_LEVEL2_EM_boys_allother_15,KS4_LEVEL2_EM_all_allother_15,KS4_LEVEL1_girls_allother_15,KS4_LEVEL1_boys_allother_15,KS4_LEVEL1_all_allother_15,KS4_LEVEL1_EM_girls_allother_15,KS4_LEVEL1_EM_boys_allother_15,KS4_LEVEL1_EM_all_allother_15,KS4_L2BASICS_girls_allother_15,KS4_L2BASICS_boys_allother_15,KS4_L2BASICS_all_allother_15,KS4_EBACC_E_girls_allother_15,KS4_EBACC_E_boys_allother_15,KS4_EBACC_E_all_allother_15,KS4_EBACC_girls_allother_15,KS4_EBACC_boys_allother_15,KS4_EBACC_all_allother_15,NATden_PROGENG_girls_allother_15,NATden_PROGENG_boys_allother_15,NATden_PROGENG_all_allother_15,KS4_PROGENG_girls_allother_15,KS4_PROGENG_boys_allother_15,KS4_PROGENG_all_allother_15,NATden_PROGMAT_girls_allother_15,NATden_PROGMAT_boys_allother_15,NATden_PROGMAT_all_allother_15,KS4_PROGMAT_girls_allother_15,KS4_PROGMAT_boys_allother_15,KS4_PROGMAT_all_allother_15
E92000001,921,England,,All pupils,271075,282394,553469,194700,171687,366387,167651,148147,315798,259062,262038,521100,251807,254727,506534,171788,155954,327742,113376,78332,191708,162836,141371,304207,117723,96249,213972,79364,54964,134328,264021,273745,537766,201865,180509,382374,264184,275034,539218,181601,179053,360654,37365,39101,76466,17790,14209,31999,13893,11446,25339,32953,31769,64722,30853,29955,60808,14688,12623,27311,9165,7059,16224,4650,2949,7599,36233,37782,74015,22319,18985,41304,36310,37938,74248,17382,16897,34279,233577,243176,476753,176900,157467,334367,153751,136693,290444,226048,230222,456270,220903,224731,445634,157090,143321,300411,108556,89189,197745,74714,52015,126729,227659,235853,463512,179528,161511,341039,227747,236983,464730,164200,162138,326338
E92000001,921,England,ETHNICGROUP_MAJOR,White,214757,223819,438576,152844,134980,287824,132527,116744,249271,204814,207282,412096,199246,201757,401003,136063,123199,259262,84882,58056,142938,128452,111209,239661,90605,74127,164732,60985,42175,103160,211109,219251,430360,159697,142349,302046,210983,219760,430743,142988,140824,283812,25754,26804,52558,10622,8189,18811,8329,6525,14854,22071,20905,42976,20515,19631,40146,8977,7380,16357,4903,3600,8503,2258,1308,3566,25305,26289,51594,14428,11793,26221,25337,26349,51686,10728,10261,20989,189003,197015,386018,142222,126791,269013,124198,110219,234417,182743,186377,369120,178731,182126,360857,127086,115819,242905,85702,70527,156229,58727,40867,99594,185804,192962,378766,145269,130556,275825,185646,193411,379057,132260,130563,262823
E92000001,921,England,ETHNICGROUP_MINOR,White British,202199,210861,413060,144446,127614,272060,125504,110559,236063,193232,195684,388916,188129,190631,378760,128898,116761,245659,77212,51829,129041,121584,105281,226865,85087,69374,154461,57193,39270,96463,200729,208644,409373,151530,134956,286486,200421,208889,409310,135616,133447,269063,24082,25049,49131,9816,7523,17339,7710,6015,13725,20712,19518,40230,19247,18326,37573,8334,6837,15171,4411,3208,7619,1994,1135,3129,23843,24764,48607,13494,10963,24457,23845,24791,48636,10015,9521,19536,178117,185812,363929,134630,120091,254721,117794,104544,222338,172520,176166,348686,168882,172305,341187,120564,109924,230488,80676,66166,146842,55199,38135,93334,176886,183880,360766,138036,123993,262029,176576,184098,360674,125601,123926,249527
E92000001,921,England,ETHNICGROUP_MINOR,Irish,944,938,1882,739,682,1421,660,623,1283,897,884,1781,875,867,1742,674,637,1311,466,337,803,655,606,1261,513,433,946,371,279,650,914,903,1817,741,682,1423,909,898,1807,649,644,1293,130,116,246,61,38,99,49,30,79,104,94,198,95,90,185,50,32,82,33,21,54,12,8,20,122,110,232,68,56,124,121,107,228,49,33,82,814,822,1636,678,644,1322,611,593,1204,793,790,1583,780,777,1557,624,605,1229,480,412,892,359,271,630,792,793,1585,673,626,1299,788,791,1579,600,611,1211
E92000001,921,England,ETHNICGROUP_MINOR,Traveller of Irish Heritage,67,75,142,19,13,32,14,11,25,38,43,81,34,40,74,14,15,29,4,4,8,13,11,24,5,3,8,x,x,5,63,71,134,22,26,48,64,72,136,15,18,33,42,51,93,9,8,17,6,6,12,23,26,49,22,25,47,6,7,13,x,x,x,x,x,x,38,50,88,13,18,31,39,50,89,6,12,18,25,24,49,10,5,15,8,5,13,15,17,32,12,15,27,8,8,16,x,x,x,x,x,x,25,21,46,9,8,17,25,22,47,9,6,15
E92000001,921,England,ETHNICGROUP_MINOR,Gypsy / Roma,512,543,1055,73,52,125,49,42,91,269,293,562,225,244,469,53,46,99,26,18,44,43,36,79,21,19,40,x,x,12,426,448,874,154,147,301,456,473,929,87,89,176,207,201,408,22,15,37,11,11,22,97,100,197,79,84,163,13,13,26,x,x,x,x,x,x,180,173,353,56,48,104,190,185,375,24,32,56,305,342,647,51,37,88,38,31,69,172,193,365,146,160,306,40,33,73,x,x,x,x,x,x,246,275,521,98,99,197,266,288,554,63,57,120
E92000001,921,England,ETHNICGROUP_MINOR,Any Other White Background,11035,11402,22437,7567,6619,14186,6300,5509,11809,10378,10378,20756,9983,9975,19958,6424,5740,12164,7174,5868,13042,6157,5275,11432,4979,4298,9277,3412,2618,6030,8977,9185,18162,7250,6538,13788,9133,9428,18561,6621,6626,13247,1293,1387,2680,714,605,1319,553,463,1016,1135,1167,2302,1072,1106,2178,574,491,1065,450,365,815,251,163,414,1122,1192,2314,797,708,1505,1142,1216,2358,634,663,1297,9742,10015,19757,6853,6014,12867,5747,5046,10793,9243,9211,18454,8911,8869,17780,5850,5249,11099,4529,3933,8462,3161,2455,5616,7855,7993,15848,6453,5830,12283,7991,8212,16203,5987,5963,11950
E92000001,921,England,ETHNICGROUP_MAJOR,Mixed,11238,11275,22513,8270,7062,15332,6964,6107,13071,10757,10426,21183,10442,10113,20555,7106,6383,13489,5136,3667,8803,6788,5878,12666,5129,4236,9365,3456,2528,5984,10923,10865,21788,8508,7365,15873,10925,10934,21859,7424,7013,14437,2211,2199,4410,1188,923,2111,897,758,1655,1999,1804,3803,1889,1705,3594,939,818,1757,589,478,1067,306,215,521,2141,2126,4267,1396,1140,2536,2138,2136,4274,1060,978,2038,9027,9076,18103,7082,6139,13221,6067,5349,11416,8758,8622,17380,8553,8408,16961,6167,5565,11732,4540,3758,8298,3150,2313,5463,8782,8739,17521,7112,6225,13337,8787,8798,17585,6364,6035,12399
E92000001,921,England,ETHNICGROUP_MINOR,White and Black Caribbean,3694,3606,7300,2455,1922,4377,1984,1571,3555,3475,3261,6736,3344,3127,6471,2037,1668,3705,1184,711,1895,1911,1491,3402,1335,989,2324,792,460,1252,3658,3562,7220,2636,2152,4788,3653,3567,7220,2174,1910,4084,859,847,1706,398,297,695,302,228,530,757,675,1432,707,633,1340,315,242,557,183,135,318,81,50,131,845,838,1683,504,404,908,844,840,1684,363,325,688,2835,2759,5594,2057,1625,3682,1682,1343,3025,2718,2586,5304,2637,2494,5131,1722,1426,3148,1152,854,2006,711,410,1121,2813,2724,5537,2132,1748,3880,2809,2727,5536,1811,1585,3396
E92000001,921,England,ETHNICGROUP_MINOR,White and Black African,1306,1212,2518,993,748,1741,827,654,1481,1273,1131,2404,1235,1097,2332,840,693,1533,663,418,1081,802,630,1432,621,432,1053,408,251,659,1229,1142,2371,1005,794,1799,1232,1142,2374,885,747,1632,293,259,552,192,120,312,139,97,236,278,228,506,267,213,480,143,108,251,94,61,155,49,29,78,277,243,520,218,141,359,279,241,520,168,124,292,1013,953,1966,801,628,1429,688,557,1245,995,903,1898,968,884,1852,697,585,1282,527,371,898,359,222,581,952,899,1851,787,653,1440,953,901,1854,717,623,1340
