,Name,value,Year,Type
0,Aadam,457.0,2021,Rank
1,Aadil,1448.0,2021,Rank
2,Aamir,2301.0,2021,Rank
3,Aaran,1860.0,2021,Rank
4,Aaron,119.0,2021,Rank
5,Abbas,985.0,2021,Rank
6,Abdirahman,1078.0,2021,Rank
7,Abdul,234.0,2021,Rank
8,Abdulaziz,1595.0,2021,Rank
9,Abdullah,196.0,2021,Rank
10,Abdullahi,1184.0,2021,Rank
11,Abdulrahman,907.0,2021,Rank
12,Abdur,1139.0,2021,Rank
13,Abdur-Rahman,1329.0,2021,Rank
14,Abdurahman,1595.0,2021,Rank
15,Abel,178.0,2021,Rank
16,Abid,3451.0,2021,Rank
17,Abir,2493.0,2021,Rank
18,Abraham,477.0,2021,Rank
19,Abrar,1782.0,2021,Rank
20,Abu,771.0,2021,Rank
21,Abu-Bakr,2301.0,2021,Rank
22,Abubakar,1184.0,2021,Rank
23,Abubakr,854.0,2021,Rank
24,Adam,44.0,2021,Rank
25,Adan,1448.0,2021,Rank
26,Addison,841.0,2021,Rank
27,Adeeb,3990.0,2021,Rank
28,Adeel,2301.0,2021,Rank
29,Adel,2301.0,2021,Rank
30,Adem,1004.0,2021,Rank
31,Aden,963.0,2021,Rank
32,Adil,841.0,2021,Rank
33,Adnan,841.0,2021,Rank
34,Adrian,249.0,2021,Rank
35,Adrien,1984.0,2021,Rank
36,Aedan,3017.0,2021,Rank
37,Ahad,632.0,2021,Rank
38,Ahmad,256.0,2021,Rank
39,Ahmed,209.0,2021,Rank
40,Ahmet,1860.0,2021,Rank
41,Ahsan,1782.0,2021,Rank
42,Aidan,188.0,2021,Rank
43,Aiden,124.0,2021,Rank
44,Aiman,2125.0,2021,Rank
45,Ajay,784.0,2021,Rank
46,Akash,2125.0,2021,Rank
47,Akbar,4789.0,2021,Rank
48,Akeem,1595.0,2021,Rank
49,Akira,3017.0,2021,Rank
50,Akram,939.0,2021,Rank
51,Akshay,3451.0,2021,Rank
52,Al,1984.0,2021,Rank
53,Alan,352.0,2021,Rank
54,Alasdair,1448.0,2021,Rank
55,Alastair,871.0,2021,Rank
56,Albert,58.0,2021,Rank
57,Albie,32.0,2021,Rank
58,Alby,539.0,2021,Rank
59,Alec,659.0,2021,Rank
60,Aled,2125.0,2021,Rank
61,Aleem,1984.0,2021,Rank
62,Alejandro,1218.0,2021,Rank
63,Aleksandar,1688.0,2021,Rank
64,Aleksander,324.0,2021,Rank
65,Alessandro,610.0,2021,Rank
66,Alessio,825.0,2021,Rank
67,Alex,122.0,2021,Rank
68,Alexander,27.0,2021,Rank
69,Alexandre,1139.0,2021,Rank
70,Alexandros,695.0,2021,Rank
71,Alexei,2730.0,2021,Rank
72,Alexis,1595.0,2021,Rank
73,Alfie,16.0,2021,Rank
74,Alfred,80.0,2021,Rank
75,Ali,141.0,2021,Rank
76,Alistair,592.0,2021,Rank
77,Allan,1860.0,2021,Rank
78,Allen,3990.0,2021,Rank
79,Alvin,907.0,2021,Rank
80,Amaan,729.0,2021,Rank
81,Aman,1078.0,2021,Rank
82,Amar,738.0,2021,Rank
83,Amari,278.0,2021,Rank
84,Ameen,1595.0,2021,Rank
85,Ameer,1023.0,2021,Rank
86,Amer,2730.0,2021,Rank
87,Amin,963.0,2021,Rank
88,Amir,253.0,2021,Rank
89,Ammaar,3990.0,2021,Rank
90,Ammar,771.0,2021,Rank
91,Amos,584.0,2021,Rank
92,Amr,3990.0,2021,Rank
93,Amrit,1688.0,2021,Rank
94,Anand,3017.0,2021,Rank
95,Anas,423.0,2021,Rank
96,Anderson,1595.0,2021,Rank
97,Andre,592.0,2021,Rank
98,Andreas,632.0,2021,Rank
99,Andres,1860.0,2021,Rank
100,Andrew,291.0,2021,Rank
101,Andy,841.0,2021,Rank
102,Aneurin,1184.0,2021,Rank
103,Angelo,569.0,2021,Rank
104,Angus,329.0,2021,Rank
105,Anis,2301.0,2021,Rank
106,Anish,3451.0,2021,Rank
107,Anthony,202.0,2021,Rank
108,Antoine,2730.0,2021,Rank
109,Anton,761.0,2021,Rank
110,Antoni,313.0,2021,Rank
111,Antonio,385.0,2021,Rank
