SITE_UPRN,SITE_NAME,PRIMARY_ADDRESS,STREET,LOCALITY,TOWN,COUNTY,POSTCODE,GIA,EASTING,NORTHING,PARISH,DISTRICT,SUBCLIENT,SITESTATUS,SITEFUNCTIONDETAIL
000801,BARTON FARM,,,AYLESBEARE,EXETER,DEVON,EX5 2BU,0,303479.00,92045.00,Aylesbeare CP,EAST DEVON,County Farms estate,Leasehold,Small holding - Residential
000901,BAXTERS FARM,,,MUSBURY,AXMINSTER,DEVON,EX13 6BB,0,327028.00,94255.00,Musbury CP,EAST DEVON,County Farms estate,Freehold,Small holding - Residential
001001,BEARA DOWN FARM,,,BRATTON FLEMING,BARNSTAPLE,DEVON,EX31 4TL,0,265046.00,138249.00,Bratton Fleming CP,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
001201,GREAT BLAKEWELL FARM,,,UMBERLEIGH,CHITTLEHAMTON,DEVON,EX37 9AJ,0,261962.00,124360.00,Chittlehampton CP,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
001401,BUCKRIDGE FARM,,,BICKINGTON,NEWTON ABBOT,DEVON,TQ12 6EJ,0,280348.00,69002.00,Denbury and Torbryan CP,TEIGNBRIDGE,County Farms estate,Freehold,Small holding - Residential
001501,BULLEIGH ELMS CROSS FARM-MAIN FARM SITE,,,IPPLEPEN,NEWTON ABBOT,DEVON,TQ12 5UA,0,285554.00,66391.00,Ipplepen CP,TEIGNBRIDGE,County Farms estate,Freehold,Small holding - Residential
001502,BULLEIGH ELMS CROSS FARM-LAND TRANSFERRED FROM COMBEFISHACRE FARM,,,IPPLEPEN,NEWTON ABBOT,DEVON,TQ12 5UA,,284732.00,65270.00,Ipplepen CP,TEIGNBRIDGE,County Farms estate,Freehold,Small holding - Residential
001601,CHAPEL FARM-MAIN FARM SITE,,GUINEAFORD,MARWOOD,BARNSTAPLE,DEVON,EX31 4DZ,0,254419.00,137219.00,Marwood CP,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
001603,CHAPEL FARM-LAND TRANSFERRED FROM HIGHER MUDDIFORD FARM,,GUINEAFORD,MARWOOD,BARNSTAPLE,DEVON,EX31 4EA,,255910.00,137916.00,,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
001701,CHURCHLANDS FARM,,,CADELEIGH PARK,ERMINGTON,DEVON,PL21 9JP,0,261333.00,55449.00,Ermington CP,SOUTH HAMS,County Farms estate,Freehold,Small holding - Residential
001801,COBBERTON-MAIN FARM SITE,,,DARTINGTON,TOTNES,DEVON,TQ9  6DS,0,275695.00,60919.00,Dartington CP,SOUTH HAMS,County Farms estate,Freehold,Small holding - Residential
001802,COBBERTON-LAND TRANSFERRED FROM HIGHER COBBERTON FARM,,,DARTINGTON,TOTNES,DEVON,TQ9  6DS,,275733.00,61026.00,Dartington CP,SOUTH HAMS,County Farms estate,Freehold,Small holding - Residential
001803,COBBERTON-LAND AT VENTON,,,DARTINGTON,TOTNES,DEVON,TQ9  6DS,0,275265.00,61333.00,Dartington CP,SOUTH HAMS,County Farms estate,Freehold,Small holding - Residential
002001,COBHAM WEEK,,,BRIDESTOWE,OKEHAMPTON,DEVON,EX20 4ET,0,250570.00,88030.00,Bridestowe CP,WEST DEVON,County Farms estate,Freehold,Small holding - Residential
002601,COPPA DOLLA FARM,,,BROADHEMPSTON,TOTNES,DEVON,TQ9  6BU,0,281179.00,67051.00,Denbury and Torbryan CP,TEIGNBRIDGE,County Farms estate,Freehold,Small holding - Residential
002701,COTLEY FARM-MAIN FARM SITE,,,FLUXTON,OTTERY ST MARY,DEVON,EX11 1RJ,0,308199.00,93334.00,Ottery St. Mary CP,EAST DEVON,County Farms estate,Freehold,Small holding - Residential
002702,COTLEY FARM-FORMERLY HIGHER COTLEY FARM,,,FLUXTON,OTTERY ST MARY,DEVON,EX11 1RJ,,309039.00,93056.00,Ottery St. Mary CP,EAST DEVON,County Farms estate,Freehold,Small holding - Residential
003001,CROSS FARM,,ALMINSTONE,WOOLSERY,BIDEFORD,DEVON,EX39 5PX,0,235022.00,115074.00,Woolfardisworthy (Torridge) CP,TORRIDGE,County Farms estate,Freehold,Small holding - Residential
003601,DUCKALLER FARM,,PORT ROAD,,DAWLISH,DEVON,EX7  0NX,0,295749.00,79663.00,Dawlish CP,TEIGNBRIDGE,County Farms estate,Freehold,Small holding - Residential
