,Name,value,Year,Type
0,Aaisha,1569.0,2021,Rank
1,Aaishah,2942.0,2021,Rank
2,Aaliya,1402.0,2021,Rank
3,Aaliyah,132.0,2021,Rank
4,Aamina,1785.0,2021,Rank
5,Aaminah,564.0,2021,Rank
6,Aamirah,4634.0,2021,Rank
7,Aamna,3192.0,2021,Rank
8,Aasiyah,840.0,2021,Rank
9,Abbey,3192.0,2021,Rank
10,Abbie,860.0,2021,Rank
11,Abby,1785.0,2021,Rank
12,Abi,2942.0,2021,Rank
13,Abida,3192.0,2021,Rank
14,Abigail,105.0,2021,Rank
15,Acacia,3961.0,2021,Rank
16,Ada,44.0,2021,Rank
17,Adeeba,5581.0,2021,Rank
18,Adela,1161.0,2021,Rank
19,Adelaide,380.0,2021,Rank
20,Adele,603.0,2021,Rank
21,Adina,1505.0,2021,Rank
22,Aditi,1351.0,2021,Rank
23,Adriana,549.0,2021,Rank
24,Adrianna,1402.0,2021,Rank
25,Afreen,2499.0,2021,Rank
26,Agatha,884.0,2021,Rank
27,Agnes,412.0,2021,Rank
28,Ahlam,3192.0,2021,Rank
29,Aicha,5581.0,2021,Rank
30,Aida,343.0,2021,Rank
31,Aileen,4634.0,2021,Rank
32,Ailish,3519.0,2021,Rank
33,Ailsa,1454.0,2021,Rank
34,Aimee,1195.0,2021,Rank
35,Aine,1259.0,2021,Rank
36,Aisha,121.0,2021,Rank
37,Aishah,1224.0,2021,Rank
38,Aisling,1569.0,2021,Rank
39,Alaa,1454.0,2021,Rank
40,Alaina,654.0,2021,Rank
41,Alana,209.0,2021,Rank
42,Alanah,1569.0,2021,Rank
43,Alanis,4634.0,2021,Rank
44,Alanna,667.0,2021,Rank
45,Alannah,767.0,2021,Rank
46,Alarna,1785.0,2021,Rank
47,Alaw,1866.0,2021,Rank
48,Alayna,245.0,2021,Rank
49,Alba,145.0,2021,Rank
50,Aleah,1692.0,2021,Rank
51,Aleena,262.0,2021,Rank
52,Aleesha,2499.0,2021,Rank
53,Aleksandra,755.0,2021,Rank
54,Alena,1128.0,2021,Rank
55,Alesha,1454.0,2021,Rank
56,Alessandra,2073.0,2021,Rank
57,Alessia,293.0,2021,Rank
58,Alethea,1866.0,2021,Rank
59,Alex,1866.0,2021,Rank
60,Alexa,1866.0,2021,Rank
61,Alexandra,161.0,2021,Rank
62,Alexandria,1128.0,2021,Rank
63,Alexia,812.0,2021,Rank
64,Alexis,529.0,2021,Rank
65,Aleyna,1128.0,2021,Rank
66,Alia,747.0,2021,Rank
67,Alice,31.0,2021,Rank
68,Alicia,345.0,2021,Rank
69,Alicja,431.0,2021,Rank
70,Alima,2711.0,2021,Rank
71,Alina,260.0,2021,Rank
72,Alisa,567.0,2021,Rank
73,Alisha,331.0,2021,Rank
74,Alisia,1962.0,2021,Rank
75,Alison,1402.0,2021,Rank
76,Alissa,936.0,2021,Rank
77,Alix,3192.0,2021,Rank
78,Aliya,513.0,2021,Rank
79,Aliyah,339.0,2021,Rank
80,Aliza,274.0,2021,Rank
81,Allana,2341.0,2021,Rank
82,Allegra,720.0,2021,Rank
83,Alma,267.0,2021,Rank
84,Almas,3192.0,2021,Rank
85,Alya,603.0,2021,Rank
86,Alycia,2201.0,2021,Rank
87,Alys,449.0,2021,Rank
88,Alysha,3519.0,2021,Rank
89,Alysia,1866.0,2021,Rank
90,Alyssa,211.0,2021,Rank
91,Alyssia,625.0,2021,Rank
92,Amaani,2201.0,2021,Rank
93,Amal,253.0,2021,Rank
94,Amalia,367.0,2021,Rank
95,Amalie,1102.0,2021,Rank
96,Amana,2499.0,2021,Rank
97,Amanda,699.0,2021,Rank
98,Amani,603.0,2021,Rank
99,Amara,173.0,2021,Rank
100,Amarah,884.0,2021,Rank
101,Amba,4634.0,2021,Rank
102,Ambar,2499.0,2021,Rank
103,Amber,88.0,2021,Rank
104,Amber-Rose,2073.0,2021,Rank
105,Amberley,3192.0,2021,Rank
106,Ameena,1962.0,2021,Rank
107,Ameenah,2711.0,2021,Rank
108,Ameera,466.0,2021,Rank
109,Ameerah,594.0,2021,Rank
110,Amelia,2.0,2021,Rank
111,Amelie,87.0,2021,Rank
112,Amena,3519.0,2021,Rank
113,Amie,2341.0,2021,Rank
114,Amina,248.0,2021,Rank
115,Aminah,447.0,2021,Rank
116,Amira,158.0,2021,Rank
117,Amirah,318.0,2021,Rank
118,Ammara,2499.0,2021,Rank
119,Ammarah,1692.0,2021,Rank
120,Amna,936.0,2021,Rank
121,Amreen,2073.0,2021,Rank
122,Amrit,1866.0,2021,Rank
123,Amrita,2942.0,2021,Rank
124,Amy,285.0,2021,Rank
125,Ana,412.0,2021,Rank
126,Anabel,1962.0,2021,Rank
127,Anabelle,1628.0,2021,Rank
128,Anais,428.0,2021,Rank
129,Anam,1505.0,2021,Rank
