Species,Bill Length,Bill Depth,Flipper Length,Body Mass,Sex
Adelie,39.5,17.4,186.0,3800.0,FEMALE
Adelie,40.3,18.0,195.0,3250.0,FEMALE
Adelie,36.7,19.3,193.0,3450.0,FEMALE
Adelie,38.9,17.8,181.0,3625.0,FEMALE
Adelie,41.1,17.6,182.0,3200.0,FEMALE
Adelie,36.6,17.8,185.0,3700.0,FEMALE
Adelie,38.7,19.0,195.0,3450.0,FEMALE
Adelie,34.4,18.4,184.0,3325.0,FEMALE
Adelie,37.8,18.3,174.0,3400.0,FEMALE
Adelie,35.9,19.2,189.0,3800.0,FEMALE
Adelie,35.3,18.9,187.0,3800.0,FEMALE
Adelie,40.5,17.9,187.0,3200.0,FEMALE
Adelie,37.9,18.6,172.0,3150.0,FEMALE
Adelie,39.5,16.7,178.0,3250.0,FEMALE
Adelie,39.5,17.8,188.0,3300.0,FEMALE
Adelie,36.4,17.0,195.0,3325.0,FEMALE
Adelie,42.2,18.5,180.0,3550.0,FEMALE
Adelie,37.6,19.3,181.0,3300.0,FEMALE
Adelie,36.5,18.0,182.0,3150.0,FEMALE
Adelie,36.0,18.5,186.0,3100.0,FEMALE
Adelie,37.0,16.9,185.0,3000.0,FEMALE
Adelie,36.0,17.9,190.0,3450.0,FEMALE
Adelie,39.6,17.7,186.0,3500.0,FEMALE
Adelie,35.0,17.9,190.0,3450.0,FEMALE
Adelie,34.5,18.1,187.0,2900.0,FEMALE
Adelie,39.0,17.5,186.0,3550.0,FEMALE
Adelie,36.5,16.6,181.0,2850.0,FEMALE
Adelie,35.7,16.9,185.0,3150.0,FEMALE
Adelie,37.6,17.0,185.0,3600.0,FEMALE
Adelie,36.4,17.1,184.0,2850.0,FEMALE
Adelie,35.5,16.2,195.0,3350.0,FEMALE
Adelie,35.9,16.6,190.0,3050.0,FEMALE
Adelie,33.5,19.0,190.0,3600.0,FEMALE
Adelie,39.6,17.2,196.0,3550.0,FEMALE
Adelie,35.5,17.5,190.0,3700.0,FEMALE
Adelie,40.9,16.8,191.0,3700.0,FEMALE
Adelie,36.2,16.1,187.0,3550.0,FEMALE
Adelie,34.6,17.2,189.0,3200.0,FEMALE
Adelie,36.7,18.8,187.0,3800.0,FEMALE
Adelie,37.3,17.8,191.0,3350.0,FEMALE
Adelie,36.9,18.6,189.0,3500.0,FEMALE
Adelie,38.9,18.8,190.0,3600.0,FEMALE
Adelie,35.7,18.0,202.0,3550.0,FEMALE
Adelie,34.0,17.1,185.0,3400.0,FEMALE
Adelie,36.2,17.3,187.0,3300.0,FEMALE
Adelie,38.1,18.6,190.0,3700.0,FEMALE
Adelie,33.1,16.1,178.0,2900.0,FEMALE
Adelie,35.0,17.9,192.0,3725.0,FEMALE
Adelie,37.7,16.0,183.0,3075.0,FEMALE
Adelie,37.9,18.6,193.0,2925.0,FEMALE
Adelie,38.6,17.2,199.0,3750.0,FEMALE
Adelie,38.1,17.0,181.0,3175.0,FEMALE
Adelie,38.1,16.5,198.0,3825.0,FEMALE
Adelie,39.7,17.7,193.0,3200.0,FEMALE
Adelie,39.6,20.7,191.0,3900.0,FEMALE
Adelie,38.6,17.0,188.0,2900.0,FEMALE
Adelie,35.7,17.0,189.0,3350.0,FEMALE
Adelie,36.2,17.2,187.0,3150.0,FEMALE
