Species,Bill Length,Bill Depth,Flipper Length,Body Mass,Sex
Adelie,39.1,18.7,181.0,3750.0,MALE
Adelie,39.3,20.6,190.0,3650.0,MALE
Adelie,39.2,19.6,195.0,4675.0,MALE
Adelie,38.6,21.2,191.0,3800.0,MALE
Adelie,34.6,21.1,198.0,4400.0,MALE
Adelie,42.5,20.7,197.0,4500.0,MALE
Adelie,46.0,21.5,194.0,4200.0,MALE
Adelie,37.7,18.7,180.0,3600.0,MALE
Adelie,38.2,18.1,185.0,3950.0,MALE
Adelie,38.8,17.2,180.0,3800.0,MALE
Adelie,40.6,18.6,183.0,3550.0,MALE
Adelie,40.5,18.9,180.0,3950.0,MALE
Adelie,37.2,18.1,178.0,3900.0,MALE
Adelie,40.9,18.9,184.0,3900.0,MALE
Adelie,39.2,21.1,196.0,4150.0,MALE
Adelie,38.8,20.0,190.0,3950.0,MALE
Adelie,39.8,19.1,184.0,4650.0,MALE
Adelie,40.8,18.4,195.0,3900.0,MALE
Adelie,44.1,19.7,196.0,4400.0,MALE
Adelie,39.6,18.8,190.0,4600.0,MALE
Adelie,41.1,19.0,182.0,3425.0,MALE
Adelie,42.3,21.2,191.0,4150.0,MALE
Adelie,40.1,18.9,188.0,4300.0,MALE
Adelie,42.0,19.5,200.0,4050.0,MALE
Adelie,41.4,18.6,191.0,3700.0,MALE
Adelie,40.6,18.8,193.0,3800.0,MALE
Adelie,37.6,19.1,194.0,3750.0,MALE
Adelie,41.3,21.1,195.0,4400.0,MALE
Adelie,41.1,18.2,192.0,4050.0,MALE
Adelie,41.6,18.0,192.0,3950.0,MALE
Adelie,41.1,19.1,188.0,4100.0,MALE
Adelie,41.8,19.4,198.0,4450.0,MALE
Adelie,39.7,18.4,190.0,3900.0,MALE
Adelie,45.8,18.9,197.0,4150.0,MALE
Adelie,42.8,18.5,195.0,4250.0,MALE
Adelie,37.2,19.4,184.0,3900.0,MALE
Adelie,42.1,19.1,195.0,4000.0,MALE
Adelie,42.9,17.6,196.0,4700.0,MALE
Adelie,35.1,19.4,193.0,4200.0,MALE
Adelie,41.3,20.3,194.0,3550.0,MALE
Adelie,36.3,19.5,190.0,3800.0,MALE
Adelie,38.3,19.2,189.0,3950.0,MALE
Adelie,41.1,18.1,205.0,4300.0,MALE
Adelie,39.6,18.1,186.0,4450.0,MALE
Adelie,40.8,18.9,208.0,4300.0,MALE
Adelie,40.3,18.5,196.0,4350.0,MALE
Adelie,43.2,18.5,192.0,4100.0,MALE
Adelie,41.0,20.0,203.0,4725.0,MALE
Adelie,37.8,20.0,190.0,4250.0,MALE
Adelie,39.7,18.9,184.0,3550.0,MALE
Adelie,38.2,20.0,190.0,3900.0,MALE
Adelie,43.2,19.0,197.0,4775.0,MALE
Adelie,45.6,20.3,191.0,4600.0,MALE
Adelie,42.2,19.5,197.0,4275.0,MALE
Adelie,42.7,18.3,196.0,4075.0,MALE
Adelie,37.3,20.5,199.0,3775.0,MALE
Adelie,41.1,18.6,189.0,3325.0,MALE
Adelie,37.7,19.8,198.0,3500.0,MALE
Adelie,41.4,18.5,202.0,3875.0,MALE
Adelie,40.6,19.0,199.0,4000.0,MALE
Adelie,41.5,18.3,195.0,4300.0,MALE
Adelie,44.1,18.0,210.0,4000.0,MALE
Adelie,43.1,19.2,197.0,3500.0,MALE
Adelie,37.5,18.5,199.0,4475.0,MALE
Adelie,41.1,17.5,190.0,3900.0,MALE
Adelie,40.2,20.1,200.0,3975.0,MALE
Adelie,39.7,17.9,193.0,4250.0,MALE
Adelie,40.6,17.2,187.0,3475.0,MALE
Adelie,40.7,17.0,190.0,3725.0,MALE
Adelie,39.0,18.7,185.0,3650.0,MALE
Adelie,39.2,18.6,190.0,4250.0,MALE
Adelie,37.8,18.1,193.0,3750.0,MALE
Adelie,41.5,18.5,201.0,4000.0,MALE
Gentoo,50.0,16.3,230.0,5700.0,MALE
Gentoo,50.0,15.2,218.0,5700.0,MALE
Gentoo,47.6,14.5,215.0,5400.0,MALE
Gentoo,46.7,15.3,219.0,5200.0,MALE
Gentoo,46.8,15.4,215.0,5150.0,MALE
Gentoo,49.0,16.1,216.0,5550.0,MALE
Gentoo,48.4,14.6,213.0,5850.0,MALE
Gentoo,49.3,15.7,217.0,5850.0,MALE
Gentoo,49.2,15.2,221.0,6300.0,MALE
Gentoo,48.7,15.1,222.0,5350.0,MALE
Gentoo,50.2,14.3,218.0,5700.0,MALE
Gentoo,46.3,15.8,215.0,5050.0,MALE
Gentoo,46.1,15.1,215.0,5100.0,MALE
Gentoo,47.8,15.0,215.0,5650.0,MALE
Gentoo,50.0,15.3,220.0,5550.0,MALE
Gentoo,47.3,15.3,222.0,5250.0,MALE
Gentoo,59.6,17.0,230.0,6050.0,MALE
Gentoo,48.4,16.3,220.0,5400.0,MALE
Gentoo,44.4,17.3,219.0,5250.0,MALE
Gentoo,48.7,15.7,208.0,5350.0,MALE
Gentoo,49.6,16.0,225.0,5700.0,MALE
Gentoo,49.6,15.0,216.0,4750.0,MALE
Gentoo,50.5,15.9,222.0,5550.0,MALE
Gentoo,50.5,15.9,225.0,5400.0,MALE
Gentoo,45.2,15.8,215.0,5300.0,MALE
Gentoo,48.5,14.1,220.0,5300.0,MALE
Gentoo,50.1,15.0,225.0,5000.0,MALE
Gentoo,45.0,15.4,220.0,5050.0,MALE
Gentoo,45.5,15.0,220.0,5000.0,MALE
Gentoo,50.4,15.3,224.0,5550.0,MALE
Gentoo,46.2,14.9,221.0,5300.0,MALE
Gentoo,54.3,15.7,231.0,5650.0,MALE
Gentoo,49.8,16.8,230.0,5700.0,MALE
Gentoo,49.5,16.2,229.0,5800.0,MALE
Gentoo,50.7,15.0,223.0,5550.0,MALE
Gentoo,46.4,15.6,221.0,5000.0,MALE
Gentoo,48.2,15.6,221.0,5100.0,MALE
Gentoo,48.6,16.0,230.0,5800.0,MALE
Gentoo,51.1,16.3,220.0,6000.0,MALE
Gentoo,45.2,16.4,223.0,5950.0,MALE
Gentoo,52.5,15.6,221.0,5450.0,MALE
Gentoo,50.0,15.9,224.0,5350.0,MALE
Gentoo,50.8,17.3,228.0,5600.0,MALE
Gentoo,51.3,14.2,218.0,5300.0,MALE
Gentoo,52.1,17.0,230.0,5550.0,MALE
Gentoo,52.2,17.1,228.0,5400.0,MALE
Gentoo,49.5,16.1,224.0,5650.0,MALE
Gentoo,50.8,15.7,226.0,5200.0,MALE
Gentoo,49.4,15.8,216.0,4925.0,MALE
Gentoo,51.1,16.5,225.0,5250.0,MALE
Gentoo,55.9,17.0,228.0,5600.0,MALE
Gentoo,49.1,15.0,228.0,5500.0,MALE
Gentoo,46.8,16.1,215.0,5500.0,MALE
Gentoo,53.4,15.8,219.0,5500.0,MALE
Gentoo,48.1,15.1,209.0,5500.0,MALE
Gentoo,49.8,15.9,229.0,5950.0,MALE
Gentoo,51.5,16.3,230.0,5500.0,MALE
Gentoo,55.1,16.0,230.0,5850.0,MALE
Gentoo,48.8,16.2,222.0,6000.0,MALE
Gentoo,50.4,15.7,222.0,5750.0,MALE
Gentoo,49.9,16.1,213.0,5400.0,MALE
