Name,Value,Year,Type,Gender
Aadam,457.0,2021,Rank,Boy
Aadil,1448.0,2021,Rank,Boy
Aamir,2301.0,2021,Rank,Boy
Aaran,1860.0,2021,Rank,Boy
Aaron,119.0,2021,Rank,Boy
Abbas,985.0,2021,Rank,Boy
Abdirahman,1078.0,2021,Rank,Boy
Abdul,234.0,2021,Rank,Boy
Abdulaziz,1595.0,2021,Rank,Boy
Abdullah,196.0,2021,Rank,Boy
Abdullahi,1184.0,2021,Rank,Boy
Abdulrahman,907.0,2021,Rank,Boy
Abdur,1139.0,2021,Rank,Boy
Abdur-Rahman,1329.0,2021,Rank,Boy
Abdurahman,1595.0,2021,Rank,Boy
Abel,178.0,2021,Rank,Boy
Abid,3451.0,2021,Rank,Boy
Abir,2493.0,2021,Rank,Boy
Abraham,477.0,2021,Rank,Boy
Abrar,1782.0,2021,Rank,Boy
Abu,771.0,2021,Rank,Boy
Abu-Bakr,2301.0,2021,Rank,Boy
Abubakar,1184.0,2021,Rank,Boy
Abubakr,854.0,2021,Rank,Boy
Adam,44.0,2021,Rank,Boy
Adan,1448.0,2021,Rank,Boy
Addison,841.0,2021,Rank,Boy
Adeeb,3990.0,2021,Rank,Boy
Adeel,2301.0,2021,Rank,Boy
Adel,2301.0,2021,Rank,Boy
Adem,1004.0,2021,Rank,Boy
Aden,963.0,2021,Rank,Boy
Adil,841.0,2021,Rank,Boy
Adnan,841.0,2021,Rank,Boy
Adrian,249.0,2021,Rank,Boy
Adrien,1984.0,2021,Rank,Boy
Aedan,3017.0,2021,Rank,Boy
Ahad,632.0,2021,Rank,Boy
Ahmad,256.0,2021,Rank,Boy
Ahmed,209.0,2021,Rank,Boy
Ahmet,1860.0,2021,Rank,Boy
Ahsan,1782.0,2021,Rank,Boy
Aidan,188.0,2021,Rank,Boy
Aiden,124.0,2021,Rank,Boy
Aiman,2125.0,2021,Rank,Boy
Ajay,784.0,2021,Rank,Boy
Akash,2125.0,2021,Rank,Boy
Akbar,4789.0,2021,Rank,Boy
Akeem,1595.0,2021,Rank,Boy
Akira,3017.0,2021,Rank,Boy
Akram,939.0,2021,Rank,Boy
Akshay,3451.0,2021,Rank,Boy
Al,1984.0,2021,Rank,Boy
Alan,352.0,2021,Rank,Boy
Alasdair,1448.0,2021,Rank,Boy
Alastair,871.0,2021,Rank,Boy
Albert,58.0,2021,Rank,Boy
Albie,32.0,2021,Rank,Boy
Alby,539.0,2021,Rank,Boy
Alec,659.0,2021,Rank,Boy
Aled,2125.0,2021,Rank,Boy
Aleem,1984.0,2021,Rank,Boy
Alejandro,1218.0,2021,Rank,Boy
Aleksandar,1688.0,2021,Rank,Boy
Aleksander,324.0,2021,Rank,Boy
Alessandro,610.0,2021,Rank,Boy
Alessio,825.0,2021,Rank,Boy
Alex,122.0,2021,Rank,Boy
Alexander,27.0,2021,Rank,Boy
Alexandre,1139.0,2021,Rank,Boy
Alexandros,695.0,2021,Rank,Boy
Alexei,2730.0,2021,Rank,Boy
Alexis,1595.0,2021,Rank,Boy
Alfie,16.0,2021,Rank,Boy
Alfred,80.0,2021,Rank,Boy
Ali,141.0,2021,Rank,Boy
Alistair,592.0,2021,Rank,Boy
Allan,1860.0,2021,Rank,Boy
Allen,3990.0,2021,Rank,Boy
Alvin,907.0,2021,Rank,Boy
Amaan,729.0,2021,Rank,Boy
Aman,1078.0,2021,Rank,Boy
Amar,738.0,2021,Rank,Boy
Amari,278.0,2021,Rank,Boy
Ameen,1595.0,2021,Rank,Boy
Ameer,1023.0,2021,Rank,Boy
Amer,2730.0,2021,Rank,Boy
Amin,963.0,2021,Rank,Boy
Amir,253.0,2021,Rank,Boy
Ammaar,3990.0,2021,Rank,Boy
Ammar,771.0,2021,Rank,Boy
Amos,584.0,2021,Rank,Boy
Amr,3990.0,2021,Rank,Boy
Amrit,1688.0,2021,Rank,Boy
Anand,3017.0,2021,Rank,Boy
Anas,423.0,2021,Rank,Boy
Anderson,1595.0,2021,Rank,Boy
Andre,592.0,2021,Rank,Boy
Andreas,632.0,2021,Rank,Boy
Andres,1860.0,2021,Rank,Boy
Andrew,291.0,2021,Rank,Boy
Andy,841.0,2021,Rank,Boy
Aneurin,1184.0,2021,Rank,Boy
Angelo,569.0,2021,Rank,Boy
Angus,329.0,2021,Rank,Boy
Anis,2301.0,2021,Rank,Boy
Anish,3451.0,2021,Rank,Boy
Anthony,202.0,2021,Rank,Boy
Antoine,2730.0,2021,Rank,Boy
Anton,761.0,2021,Rank,Boy
Antoni,313.0,2021,Rank,Boy
Antonio,385.0,2021,Rank,Boy
Antony,1004.0,2021,Rank,Boy
Anwar,2125.0,2021,Rank,Boy
Aqib,1984.0,2021,Rank,Boy
Aran,1004.0,2021,Rank,Boy
Archibald,471.0,2021,Rank,Boy
Archie,9.0,2021,Rank,Boy
Arian,790.0,2021,Rank,Boy
Arif,2125.0,2021,Rank,Boy
Arjan,605.0,2021,Rank,Boy
Arjun,332.0,2021,Rank,Boy
Armaan,556.0,2021,Rank,Boy
Arman,888.0,2021,Rank,Boy
Armani,1595.0,2021,Rank,Boy
Arnold,704.0,2021,Rank,Boy
Aron,401.0,2021,Rank,Boy
Arran,985.0,2021,Rank,Boy
Arron,1688.0,2021,Rank,Boy
Arsalan,2301.0,2021,Rank,Boy
Arthur,4.0,2021,Rank,Boy
Arun,1290.0,2021,Rank,Boy
Arvin,939.0,2021,Rank,Boy
Aryan,308.0,2021,Rank,Boy
Asa,503.0,2021,Rank,Boy
Asad,1218.0,2021,Rank,Boy
Asher,176.0,2021,Rank,Boy
Ashley,526.0,2021,Rank,Boy
Ashraf,2493.0,2021,Rank,Boy
Ashton,370.0,2021,Rank,Boy
Ashwin,1290.0,2021,Rank,Boy
Asim,1516.0,2021,Rank,Boy
Aston,618.0,2021,Rank,Boy
Atif,3451.0,2021,Rank,Boy
Aubrey,569.0,2021,Rank,Boy
Augustus,1139.0,2021,Rank,Boy
Austen,2125.0,2021,Rank,Boy
Austin,119.0,2021,Rank,Boy
Avi,815.0,2021,Rank,Boy
Avrohom,1516.0,2021,Rank,Boy
Awais,1184.0,2021,Rank,Boy
Axel,138.0,2021,Rank,Boy
Ayaz,598.0,2021,Rank,Boy
Aydan,963.0,2021,Rank,Boy
Ayden,313.0,2021,Rank,Boy
Aydin,425.0,2021,Rank,Boy
Ayman,407.0,2021,Rank,Boy
Ayomide,1448.0,2021,Rank,Boy
Ayrton,963.0,2021,Rank,Boy
Ayub,514.0,2021,Rank,Boy
Azeem,1860.0,2021,Rank,Boy
Aziz,1391.0,2021,Rank,Boy
Bailey,238.0,2021,Rank,Boy
Baran,1391.0,2021,Rank,Boy
Barnabas,1448.0,2021,Rank,Boy
Barnaby,229.0,2021,Rank,Boy
Barney,246.0,2021,Rank,Boy
Barry,2301.0,2021,Rank,Boy
Basil,1023.0,2021,Rank,Boy
Bayley,3451.0,2021,Rank,Boy
Beau,113.0,2021,Rank,Boy
Ben,348.0,2021,Rank,Boy
Benedict,641.0,2021,Rank,Boy
Benjamin,42.0,2021,Rank,Boy
Bentley,650.0,2021,Rank,Boy
Bernard,790.0,2021,Rank,Boy
Bertie,215.0,2021,Rank,Boy
Bertram,1448.0,2021,Rank,Boy
Bilal,482.0,2021,Rank,Boy
Bill,1984.0,2021,Rank,Boy
Billy,128.0,2021,Rank,Boy
Billy-Joe,1688.0,2021,Rank,Boy
Blaine,2125.0,2021,Rank,Boy
Blake,74.0,2021,Rank,Boy
Blaze,2301.0,2021,Rank,Boy
Bleddyn,3451.0,2021,Rank,Boy
Blue,1055.0,2021,Rank,Boy
Bobbie,1218.0,2021,Rank,Boy
Bobby,73.0,2021,Rank,Boy
Boris,815.0,2021,Rank,Boy
Braden,3017.0,2021,Rank,Boy
Bradley,263.0,2021,Rank,Boy
Brady,1055.0,2021,Rank,Boy
Brandon,539.0,2021,Rank,Boy
Brayden,688.0,2021,Rank,Boy
Braydon,1688.0,2021,Rank,Boy
Brendan,1516.0,2021,Rank,Boy
Brendon,1860.0,2021,Rank,Boy
Brennan,3451.0,2021,Rank,Boy
Brett,2301.0,2021,Rank,Boy
Brian,501.0,2021,Rank,Boy
Brodie,150.0,2021,Rank,Boy
Brody,90.0,2021,Rank,Boy
Brogan,1595.0,2021,Rank,Boy
Brook,3017.0,2021,Rank,Boy
Bruce,704.0,2021,Rank,Boy
Bruno,425.0,2021,Rank,Boy
Bryan,659.0,2021,Rank,Boy
Bryce,1595.0,2021,Rank,Boy
Bryn,1184.0,2021,Rank,Boy
Burak,2301.0,2021,Rank,Boy
Buster,1688.0,2021,Rank,Boy
Byron,825.0,2021,Rank,Boy
Cade,888.0,2021,Rank,Boy
Caelan,551.0,2021,Rank,Boy
Cai,650.0,2021,Rank,Boy
Cain,1250.0,2021,Rank,Boy
Caine,3451.0,2021,Rank,Boy
Cairo,385.0,2021,Rank,Boy
