Name,Value,Year,Type,Gender
Aaisha,1569.0,2021,Rank,Girl
Aaishah,2942.0,2021,Rank,Girl
Aaliya,1402.0,2021,Rank,Girl
Aaliyah,132.0,2021,Rank,Girl
Aamina,1785.0,2021,Rank,Girl
Aaminah,564.0,2021,Rank,Girl
Aamirah,4634.0,2021,Rank,Girl
Aamna,3192.0,2021,Rank,Girl
Aasiyah,840.0,2021,Rank,Girl
Abbey,3192.0,2021,Rank,Girl
Abbie,860.0,2021,Rank,Girl
Abby,1785.0,2021,Rank,Girl
Abi,2942.0,2021,Rank,Girl
Abida,3192.0,2021,Rank,Girl
Abigail,105.0,2021,Rank,Girl
Acacia,3961.0,2021,Rank,Girl
Ada,44.0,2021,Rank,Girl
Adeeba,5581.0,2021,Rank,Girl
Adela,1161.0,2021,Rank,Girl
Adelaide,380.0,2021,Rank,Girl
Adele,603.0,2021,Rank,Girl
Adina,1505.0,2021,Rank,Girl
Aditi,1351.0,2021,Rank,Girl
Adriana,549.0,2021,Rank,Girl
Adrianna,1402.0,2021,Rank,Girl
Afreen,2499.0,2021,Rank,Girl
Agatha,884.0,2021,Rank,Girl
Agnes,412.0,2021,Rank,Girl
Ahlam,3192.0,2021,Rank,Girl
Aicha,5581.0,2021,Rank,Girl
Aida,343.0,2021,Rank,Girl
Aileen,4634.0,2021,Rank,Girl
Ailish,3519.0,2021,Rank,Girl
Ailsa,1454.0,2021,Rank,Girl
Aimee,1195.0,2021,Rank,Girl
Aine,1259.0,2021,Rank,Girl
Aisha,121.0,2021,Rank,Girl
Aishah,1224.0,2021,Rank,Girl
Aisling,1569.0,2021,Rank,Girl
Alaa,1454.0,2021,Rank,Girl
Alaina,654.0,2021,Rank,Girl
Alana,209.0,2021,Rank,Girl
Alanah,1569.0,2021,Rank,Girl
Alanis,4634.0,2021,Rank,Girl
Alanna,667.0,2021,Rank,Girl
Alannah,767.0,2021,Rank,Girl
Alarna,1785.0,2021,Rank,Girl
Alaw,1866.0,2021,Rank,Girl
Alayna,245.0,2021,Rank,Girl
Alba,145.0,2021,Rank,Girl
Aleah,1692.0,2021,Rank,Girl
Aleena,262.0,2021,Rank,Girl
Aleesha,2499.0,2021,Rank,Girl
Aleksandra,755.0,2021,Rank,Girl
Alena,1128.0,2021,Rank,Girl
Alesha,1454.0,2021,Rank,Girl
Alessandra,2073.0,2021,Rank,Girl
Alessia,293.0,2021,Rank,Girl
Alethea,1866.0,2021,Rank,Girl
Alex,1866.0,2021,Rank,Girl
Alexa,1866.0,2021,Rank,Girl
Alexandra,161.0,2021,Rank,Girl
Alexandria,1128.0,2021,Rank,Girl
Alexia,812.0,2021,Rank,Girl
Alexis,529.0,2021,Rank,Girl
Aleyna,1128.0,2021,Rank,Girl
Alia,747.0,2021,Rank,Girl
Alice,31.0,2021,Rank,Girl
Alicia,345.0,2021,Rank,Girl
Alicja,431.0,2021,Rank,Girl
Alima,2711.0,2021,Rank,Girl
Alina,260.0,2021,Rank,Girl
Alisa,567.0,2021,Rank,Girl
Alisha,331.0,2021,Rank,Girl
Alisia,1962.0,2021,Rank,Girl
Alison,1402.0,2021,Rank,Girl
Alissa,936.0,2021,Rank,Girl
Alix,3192.0,2021,Rank,Girl
Aliya,513.0,2021,Rank,Girl
Aliyah,339.0,2021,Rank,Girl
Aliza,274.0,2021,Rank,Girl
