Name,2021 Rank,2021 Count,2020 Rank,2020 Count,2019 Rank,2019 Count,2018 Rank,2018 Count,2017 Rank,2017 Count,2016 Rank,2016 Count,2015 Rank,2015 Count,2014 Rank,2014 Count,2013 Rank,2013 Count,2012 Rank,2012 Count,2011 Rank,2011 Count,2010 Rank,2010 Count,2009 Rank,2009 Count,2008 Rank,2008 Count,2007 Rank,2007 Count,2006 Rank,2006 Count,2005 Rank,2005 Count,2004 Rank,2004 Count,2003 Rank,2003 Count,2002 Rank,2002 Count,2001 Rank,2001 Count,2000 Rank,2000 Count,1999 Rank,1999 Count,1998 Rank,1998 Count,1997 Rank,1997 Count,1996 Rank,1996 Count
A,3451.0,5.0,3848.0,4.0,2104.0,10.0,3959.0,4.0,3996.0,4.0,2335.0,9.0,2020.0,11.0,2964.0,6.0,2660.0,7.0,1589.0,15.0,2613.0,7.0,2941.0,6.0,,,3158.0,5.0,2741.0,6.0,2870.0,5.0,,,,,,,,,3134.0,3.0,,,,,,,,,,
A-Jay,3451.0,5.0,2960.0,6.0,,,3011.0,6.0,1923.0,12.0,2335.0,9.0,2707.0,7.0,3895.0,4.0,2403.0,8.0,3416.0,5.0,2613.0,7.0,2629.0,7.0,3744.0,4.0,3158.0,5.0,3095.0,5.0,2870.0,5.0,3849.0,3.0,1878.0,8.0,,,2636.0,4.0,3134.0,3.0,,,,,,,,,,
A.J.,,,,,,,,,,,,,,,,,,,,,,,,,4527.0,3.0,,,,,,,,,,,,,,,,,,,2943.0,3.0,,,,,,
Aaban,3990.0,4.0,3848.0,4.0,3937.0,4.0,3412.0,5.0,2324.0,9.0,4810.0,3.0,2319.0,9.0,1281.0,20.0,1706.0,13.0,1313.0,19.0,1909.0,11.0,2036.0,10.0,3227.0,5.0,2507.0,7.0,4333.0,3.0,,,,,,,,,,,,,,,,,,,,,,
Aabid,,,4608.0,3.0,3937.0,4.0,3959.0,4.0,3996.0,4.0,4810.0,3.0,3004.0,6.0,4632.0,3.0,,,,,,,3332.0,5.0,,,,,,,4052.0,3.0,,,,,,,,,3134.0,3.0,2142.0,5.0,,,2901.0,3.0,,,,
Aadam,457.0,90.0,456.0,86.0,327.0,140.0,328.0,140.0,421.0,104.0,326.0,145.0,322.0,143.0,374.0,109.0,373.0,109.0,434.0,91.0,467.0,80.0,543.0,63.0,432.0,87.0,461.0,77.0,470.0,72.0,472.0,66.0,374.0,84.0,413.0,67.0,381.0,69.0,334.0,77.0,444.0,48.0,472.0,42.0,418.0,53.0,430.0,49.0,578.0,30.0,588.0,28.0
Aadan,,,,,,,,,,,,,,,4632.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aadarsh,,,,,,,,,3040.0,6.0,,,4747.0,3.0,,,,,,,3830.0,4.0,,,,,,,3589.0,4.0,,,,,,,,,,,,,,,,,,,,,,
Aaden,3451.0,5.0,,,,,2693.0,7.0,3996.0,4.0,2556.0,8.0,,,,,3315.0,5.0,,,4647.0,3.0,2941.0,6.0,3744.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aadesh,,,,,,,,,,,,,3908.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aadham,,,,,3937.0,4.0,,,,,,,4747.0,3.0,,,,,4805.0,3.0,,,,,,,,,,,,,,,,,3467.0,3.0,,,,,,,,,,,,,,
Aadhav,3451.0,5.0,4608.0,3.0,3937.0,4.0,3959.0,4.0,,,4023.0,4.0,3908.0,4.0,,,4685.0,3.0,2721.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aadheen,,,,,,,,,,,,,4747.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aadhi,3017.0,6.0,3334.0,5.0,,,,,,,,,4747.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aadhidev,,,,,,,4749.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aadhil,,,,,4702.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aadhiran,3451.0,5.0,3848.0,4.0,,,4749.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aadhithya,,,,,,,,,,,,,,,,,,,4805.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aadhvik,,,3334.0,5.0,3937.0,4.0,,,,,4810.0,3.0,4747.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aadi,1984.0,11.0,3848.0,4.0,2266.0,9.0,3412.0,5.0,2052.0,11.0,3079.0,6.0,1902.0,12.0,1486.0,16.0,1920.0,11.0,1756.0,13.0,1909.0,11.0,1551.0,15.0,1099.0,23.0,1596.0,13.0,2741.0,6.0,1280.0,16.0,1851.0,9.0,,,,,,,,,,,,,,,,,,
Aadidev,,,,,,,,,,,,,4747.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aadil,1448.0,17.0,1825.0,12.0,2266.0,9.0,1382.0,18.0,2172.0,10.0,1704.0,14.0,1442.0,17.0,1144.0,23.0,1462.0,16.0,1507.0,16.0,976.0,28.0,1241.0,20.0,1425.0,16.0,1242.0,19.0,820.0,32.0,832.0,30.0,666.0,39.0,678.0,35.0,746.0,28.0,586.0,34.0,559.0,34.0,579.0,32.0,507.0,39.0,571.0,32.0,694.0,23.0,588.0,28.0
Aadit,3990.0,4.0,4608.0,3.0,2728.0,7.0,4749.0,3.0,3040.0,6.0,4810.0,3.0,4747.0,3.0,,,3822.0,4.0,2117.0,10.0,4647.0,3.0,3332.0,5.0,1859.0,11.0,3687.0,4.0,3095.0,5.0,,,,,,,,,,,,,,,,,,,,,,
Aadith,,,4608.0,3.0,,,4749.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaditya,,,3334.0,5.0,4702.0,3.0,2112.0,10.0,1627.0,15.0,2335.0,9.0,3373.0,5.0,1721.0,13.0,2055.0,10.0,1756.0,13.0,2194.0,9.0,2036.0,10.0,2318.0,8.0,3158.0,5.0,1885.0,10.0,3385.0,4.0,2754.0,5.0,,,,,,,,,,,2943.0,3.0,,,2859.0,3.0,,
Aadiv,4789.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aadvik,2493.0,8.0,2960.0,6.0,1745.0,13.0,1610.0,15.0,1703.0,14.0,2335.0,9.0,2483.0,8.0,3895.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aadya,,,,,,,,,,,,,,,,,,,4805.0,3.0,3830.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aahaan,,,,,,,3959.0,4.0,,,4023.0,4.0,4747.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aahad,3990.0,4.0,4608.0,3.0,,,3412.0,5.0,,,,,,,,,4685.0,3.0,,,,,,,,,4432.0,3.0,,,,,,,2578.0,5.0,3467.0,3.0,,,,,,,,,,,,,,
