INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER
HEXPCSTPPPCAP.CULHER,AUS,2020,42.51650,,UIS_EST
HEXPCSTPPPCAP.CULHER,BFA,2019,0.03098,,
HEXPCSTPPPCAP.CULHER,BIH,2019,50.84960,,
HEXPCSTPPPCAP.CULHER,BIH,2020,47.78392,,
HEXPCSTPPPCAP.CULHER,BIH,2021,49.58025,,
HEXPCSTPPPCAP.CULHER,BLR,2019,70.49780,,
HEXPCSTPPPCAP.CULHER,CHE,2018,110.68909,,
HEXPCSTPPPCAP.CULHER,CHE,2019,122.69490,,
HEXPCSTPPPCAP.CULHER,CHE,2020,106.17295,,
HEXPCSTPPPCAP.CULHER,COL,2018,1.54748,,
HEXPCSTPPPCAP.CULHER,COL,2019,1.59272,,
HEXPCSTPPPCAP.CULHER,COL,2020,1.12971,,
HEXPCSTPPPCAP.CULHER,CZE,2018,177.92076,,
HEXPCSTPPPCAP.CULHER,CZE,2019,183.54786,,
HEXPCSTPPPCAP.CULHER,CZE,2020,172.07200,,
HEXPCSTPPPCAP.CULHER,DNK,2019,173.42494,,
HEXPCSTPPPCAP.CULHER,DNK,2020,156.08249,,
HEXPCSTPPPCAP.CULHER,DNK,2021,147.49545,,
HEXPCSTPPPCAP.CULHER,ECU,2019,19.64770,,
HEXPCSTPPPCAP.CULHER,ECU,2020,19.89168,,
HEXPCSTPPPCAP.CULHER,ECU,2021,19.88559,,
HEXPCSTPPPCAP.CULHER,ESP,2017,61.78720,,
HEXPCSTPPPCAP.CULHER,ESP,2018,64.00688,,
HEXPCSTPPPCAP.CULHER,ESP,2019,73.45748,,
HEXPCSTPPPCAP.CULHER,ESP,2020,58.21800,,
HEXPCSTPPPCAP.CULHER,FIN,2017,194.82882,,
HEXPCSTPPPCAP.CULHER,FIN,2018,195.32716,,
HEXPCSTPPPCAP.CULHER,FIN,2019,198.51297,,
HEXPCSTPPPCAP.CULHER,FIN,2020,219.53415,,
HEXPCSTPPPCAP.CULHER,FRA,2018,90.72400,,
HEXPCSTPPPCAP.CULHER,FRA,2019,109.80603,,
HEXPCSTPPPCAP.CULHER,FRA,2020,117.48913,,
HEXPCSTPPPCAP.CULHER,GEO,2020,9.20438,,UIS_EST
HEXPCSTPPPCAP.CULHER,GEO,2021,4.82167,,
HEXPCSTPPPCAP.CULHER,GRC,2020,10.97660,,
HEXPCSTPPPCAP.CULHER,ISR,2019,57.99746,,
HEXPCSTPPPCAP.CULHER,ISR,2020,45.90861,,
HEXPCSTPPPCAP.CULHER,ISR,2021,52.24166,,
HEXPCSTPPPCAP.CULHER,LKA,2020,5.61753,,
HEXPCSTPPPCAP.CULHER,LUX,2020,181.23727,,
HEXPCSTPPPCAP.CULHER,LUX,2021,185.44404,,
HEXPCSTPPPCAP.CULHER,MLT,2020,208.71962,,
HEXPCSTPPPCAP.CULHER,MUS,2021,11.44008,,
HEXPCSTPPPCAP.CULHER,NLD,2020,73.33821,,
HEXPCSTPPPCAP.CULHER,NOR,2020,24.88563,,
HEXPCSTPPPCAP.CULHER,NOR,2021,23.35377,,
HEXPCSTPPPCAP.CULHER,SWE,2018,68.14640,,
HEXPCSTPPPCAP.CULHER,SWE,2019,69.35622,,
HEXPCSTPPPCAP.CULHER,SWE,2020,68.66349,,
HEXPCSTPPPCAP.CULHER,SWE,2021,68.13602,,
HEXPCSTPPPCAP.CULHER,TKM,2019,0.51155,,
HEXPCSTPPPCAP.CULHER,TKM,2020,0.58516,,
HEXPCSTPPPCAP.HER,AUS,2020,55.10925,,UIS_EST
HEXPCSTPPPCAP.HER,BIH,2019,53.63120,,
HEXPCSTPPPCAP.HER,BIH,2020,50.74718,,
HEXPCSTPPPCAP.HER,BIH,2021,52.63097,,
HEXPCSTPPPCAP.HER,BLR,2019,71.02839,,
HEXPCSTPPPCAP.HER,CHE,2018,188.09458,,
HEXPCSTPPPCAP.HER,CHE,2019,208.67993,,
HEXPCSTPPPCAP.HER,CHE,2020,197.57925,,
HEXPCSTPPPCAP.HER,COL,2018,75.52881,,
HEXPCSTPPPCAP.HER,COL,2019,137.30639,,
