NBN Atlas record ID,Occurrence ID,Licence,Rightsholder,Scientific name,Taxon author,Name qualifier,Common name,Species ID (TVK),Taxon Rank,Occurrence status,Start date,Start date day,Start date month,Start date year,End date,End date day,End date month,End date year,Locality,OSGR,Latitude (WGS84),Longitude (WGS84),Coordinate uncertainty (m),Verbatim depth,Recorder,Determiner,Individual count,Abundance,Abundance scale,Organism scope,Organism remarks,Sex,Life stage,Occurrence remarks,Identification verification status,Basis of record,Survey key,Dataset name,Dataset ID,Data provider,Data provider ID,Institution code,Kingdom,Phylum,Class,Order,Family,Genus,OSGR 100km,OSGR 10km,OSGR 2km,OSGR 1km,Country,State/Province,Vitality,public _ resolution _ in _ meters
f8cc13a7-45b5-409e-aa7e-401fcfd94f6e,9715,OGL,Bat Conservation Trust,Rhinolophus hipposideros,"(Bechstein, 1800)",,Lesser Horseshoe Bat,NHMSYS0000080177,species,present,05/06/1995,05,06,1995,,,,,,SN10,51.713143,-4.679273,7071.1,,Undisclosed,,,,,,,,,"If planning to visit the site, please contact the site recorder via BCT (nbmp@bats.org.uk). For Metadata go to https://registry.nbnatlas.org/public/showDataResource/dr945",Accepted,HumanObservation,,Hibernation Survey,dr945,Bat Conservation Trust,dp57,BCT,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,SN,SN10,,,United Kingdom,Wales,,
c8303448-1465-4f70-8353-3579b1acfd20,6778,OGL,Bat Conservation Trust,Rhinolophus ferrumequinum,"(Schreber, 1774)",,Greater Horseshoe Bat,NHMSYS0000080176,species,present,27/06/1978,27,06,1978,,,,,,SM80,51.702446,-5.11288,7071.1,,Undisclosed,,,,,,,,,"If planning to visit the site, please contact the site recorder via BCT (nbmp@bats.org.uk). For Metadata go to https://registry.nbnatlas.org/public/showDataResource/dr945",Accepted,HumanObservation,,Hibernation Survey,dr945,Bat Conservation Trust,dp57,BCT,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,SM,SM80,,,United Kingdom,Wales,,
c50755b9-9941-441c-b88b-22086991671b,9492,OGL,Bat Conservation Trust,Rhinolophus ferrumequinum,"(Schreber, 1774)",,Greater Horseshoe Bat,NHMSYS0000080176,species,present,09/06/1981,09,06,1981,,,,,,SM93,51.975553,-4.986159,7071.1,,Undisclosed,,,,,,,,,"If planning to visit the site, please contact the site recorder via BCT (nbmp@bats.org.uk). For Metadata go to https://registry.nbnatlas.org/public/showDataResource/dr945",Accepted,HumanObservation,,Hibernation Survey,dr945,Bat Conservation Trust,dp57,BCT,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,SM,SM93,,,United Kingdom,Wales,,
bfd1ebbd-bcc1-46e5-9866-0141e4d685f1,9319,OGL,Bat Conservation Trust,Rhinolophus ferrumequinum,"(Schreber, 1774)",,Greater Horseshoe Bat,NHMSYS0000080176,species,present,13/06/1975,13,06,1975,,,,,,SM80,51.702446,-5.11288,7071.1,,Undisclosed,,,,,,,,,"If planning to visit the site, please contact the site recorder via BCT (nbmp@bats.org.uk). For Metadata go to https://registry.nbnatlas.org/public/showDataResource/dr945",Accepted,HumanObservation,,Hibernation Survey,dr945,Bat Conservation Trust,dp57,BCT,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,SM,SM80,,,United Kingdom,Wales,,
bf7d1ad8-150c-4672-b399-f28443a3af71,9666,OGL,Bat Conservation Trust,Rhinolophus ferrumequinum,"(Schreber, 1774)",,Greater Horseshoe Bat,NHMSYS0000080176,species,present,27/06/1978,27,06,1978,,,,,,SN02,51.889356,-4.83509,7071.1,,Undisclosed,,,,,,,,,"If planning to visit the site, please contact the site recorder via BCT (nbmp@bats.org.uk). For Metadata go to https://registry.nbnatlas.org/public/showDataResource/dr945",Accepted,HumanObservation,,Hibernation Survey,dr945,Bat Conservation Trust,dp57,BCT,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,SN,SN02,,,United Kingdom,Wales,,
a14a7e7e-d119-406c-ac33-bc7d5863ff60,9698,OGL,Bat Conservation Trust,Rhinolophus ferrumequinum,"(Schreber, 1774)",,Greater Horseshoe Bat,NHMSYS0000080176,species,present,25/06/1979,25,06,1979,,,,,,SN00,51.709755,-4.823838,7071.1,,Undisclosed,,,,,,,,,"If planning to visit the site, please contact the site recorder via BCT (nbmp@bats.org.uk). For Metadata go to https://registry.nbnatlas.org/public/showDataResource/dr945",Accepted,HumanObservation,,Hibernation Survey,dr945,Bat Conservation Trust,dp57,BCT,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,SN,SN00,,,United Kingdom,Wales,,
9aea1fa6-1bb9-422c-9709-93f9f79efc33,6506,OGL,Bat Conservation Trust,Myotis nattereri,"(Kuhl, 1817)",,Natterer's Bat,NHMSYS0000080184,species,present,02/06/1994,02,06,1994,,,,,,SN71,51.819602,-3.814957,7071.1,,Undisclosed,,,,,,,,,"If planning to visit the site, please contact the site recorder via BCT (nbmp@bats.org.uk). For Metadata go to https://registry.nbnatlas.org/public/showDataResource/dr945",Accepted,HumanObservation,,Hibernation Survey,dr945,Bat Conservation Trust,dp57,BCT,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,SN,SN71,,,United Kingdom,Wales,,
93bd46c1-3c2c-4ea6-9f71-541dd7726a5a,6507,OGL,Bat Conservation Trust,Myotis brandtii,"(Eversmann, 1845)",,Brandt's Bat,NHMSYS0000528026,species,present,02/06/1994,02,06,1994,,,,,,SN71,51.819602,-3.814957,7071.1,,Undisclosed,,,,,,,,,"If planning to visit the site, please contact the site recorder via BCT (nbmp@bats.org.uk). For Metadata go to https://registry.nbnatlas.org/public/showDataResource/dr945",Accepted,HumanObservation,,Hibernation Survey,dr945,Bat Conservation Trust,dp57,BCT,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,SN,SN71,,,United Kingdom,Wales,,
6befe713-5445-46e3-ac3f-92b44b4723dc,480,OGL,Bat Conservation Trust,Myotis daubentonii,"(Kuhl, 1817)",,Daubenton's Bat,NHMSYS0000528028,species,present,10/06/1986,10,06,1986,,,,,,SU75,51.289206,-0.925863,7071.1,,Undisclosed,,,,,,,,,For Metadata go to https://registry.nbnatlas.org/public/showDataResource/dr945,Accepted,HumanObservation,,Hibernation Survey,dr945,Bat Conservation Trust,dp57,BCT,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,SU,SU75,,,United Kingdom,England,,
6a3c61a5-b058-427e-82ca-b2d7370da04e,9665,OGL,Bat Conservation Trust,Rhinolophus ferrumequinum,"(Schreber, 1774)",,Greater Horseshoe Bat,NHMSYS0000080176,species,present,09/06/1978,09,06,1978,,,,,,SN02,51.889356,-4.83509,7071.1,,Undisclosed,,,,,,,,,"If planning to visit the site, please contact the site recorder via BCT (nbmp@bats.org.uk). For Metadata go to https://registry.nbnatlas.org/public/showDataResource/dr945",Accepted,HumanObservation,,Hibernation Survey,dr945,Bat Conservation Trust,dp57,BCT,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,SN,SN02,,,United Kingdom,Wales,,
